,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000059769.20,12.566166,13.749068,13.169587,7.630654,9.138341,6.386335,11.726089,11.846086,11.325939
ENSG00000059804.17,0,0,0.039112,32.242633,43.650157,40.989825,24.03786,23.466686,22.511574
ENSG00000059915.17,0.966399,0.649225,1.382108,0.464894,0.905502,0.706342,4.785514,2.982748,7.028815
ENSG00000060069.18,9.006897,7.607837,8.897244,3.903647,4.707898,3.986678,16.105216,15.398665,16.00212
ENSG00000060138.13,87.630895,81.09003,79.493525,491.939646,477.647714,478.106463,345.807089,363.077706,348.634598
ENSG00000060140.9,0.085564,0.106102,0.151484,13.049339,18.412627,20.089243,3.692479,3.367012,6.111125
ENSG00000060237.19,17.205697,14.056859,13.813101,21.182414,33.662843,28.57346,28.569692,28.906764,36.309022
ENSG00000060303.5,0,0,0,0,0,0,0,0,0
ENSG00000060339.14,55.161686,58.939131,49.967041,67.841744,67.883264,55.804366,93.356741,93.594046,106.141192
ENSG00000060491.17,35.321569,30.276455,34.474344,66.103211,66.896176,69.175896,36.717731,32.854506,35.939067
ENSG00000060558.4,0,0.052943,0.026977,0.707032,0.843096,0.735223,0.392608,0.513412,0.232848
ENSG00000060566.14,13.137496,13.101295,15.762284,0.371399,0.461746,0.318027,0,0,0
ENSG00000060642.12,14.574252,17.47577,17.187123,11.701646,9.934904,8.849393,7.062076,7.776929,7.0178
ENSG00000060656.20,9.982106,12.698129,9.855296,9.199434,8.581309,9.002086,62.546494,53.384923,62.040374
ENSG00000060688.13,27.228244,28.098937,21.601879,43.501219,50.390862,49.151353,49.187759,42.953699,47.941306
ENSG00000060709.17,0,0.072633,0,0.672194,0.821341,0.996902,0,0,0.034153
ENSG00000060718.22,0,0.010594,0.204981,0,0.107568,0,0,0.012036,0
ENSG00000060749.17,4.653638,5.265439,4.782935,8.764007,13.335318,10.342159,10.733492,13.199636,11.704324
ENSG00000060762.20,70.243818,73.482229,62.08075,39.593539,38.313374,36.396244,21.921561,23.586264,24.339582
ENSG00000060971.19,74.545299,72.214358,76.382624,43.027114,46.994779,44.634143,59.59845,52.480554,57.924449
ENSG00000060982.15,0.81238,0.407848,0.274264,0.022531,0.031255,0.380783,0,0,0
ENSG00000061273.18,15.538566,13.836402,13.985463,13.705339,15.048822,14.969753,28.957271,27.591723,31.192143
ENSG00000061337.16,0,0.010248,0.040044,0.058815,0.02177,0.030568,0,0.034923,0.02248
ENSG00000061455.11,0,0,0,0,0,0.011929,0,0.006802,0
ENSG00000061492.12,0,0,0,0,0,0,0,0,0
ENSG00000061656.11,11.459313,5.859832,9.754852,4.988299,3.736784,4.08975,2.048268,1.154772,2.642785
ENSG00000061676.16,63.083118,61.454053,50.117339,56.50371,72.425874,61.727604,45.22768,49.463042,49.911513
ENSG00000061794.13,103.272788,114.876046,101.823062,128.455273,149.3243,142.856928,30.925263,29.36106,28.950169
ENSG00000061918.14,0.614018,0.635615,0.600545,0,0.033451,0,0,0,0
ENSG00000061936.10,13.370771,11.944992,11.726752,20.198898,20.490561,21.222801,31.375393,29.779201,30.753831
ENSG00000061938.21,4.421723,3.458417,3.886385,45.542912,48.889982,46.968218,27.123541,28.324646,33.925157
ENSG00000061987.16,13.603099,14.82314,13.806253,4.722889,6.290688,4.136104,37.464666,34.901996,37.578738
ENSG00000062038.15,0.038455,0.518372,0.432105,38.303635,42.979449,42.678179,56.744131,51.438778,55.514467
ENSG00000062096.15,0.155077,0.123142,0.125422,0,0,0,0,0,0
ENSG00000062194.16,33.414518,35.654368,31.81739,51.350236,53.610208,49.658379,38.439844,40.547215,42.757446
ENSG00000062282.15,88.366608,81.61928,83.744836,12.690818,13.60929,17.876339,10.901022,10.881188,9.78619
ENSG00000062370.17,0.944328,0.579826,0.644564,1.452689,1.636412,1.382551,0,0,0
ENSG00000062485.19,47.673498,46.436617,45.011959,94.189073,127.534613,110.686351,182.714703,190.341753,192.154448
ENSG00000062524.16,0.020043,0,0.02524,0.075947,0.217409,0.157246,0.044966,0.114252,0.277845
ENSG00000062582.14,164.508102,140.574638,160.465483,208.307622,212.870537,212.624061,168.051312,151.175267,167.76489
ENSG00000062598.18,8.568244,8.880154,9.607445,13.41474,15.233048,11.282933,13.331073,17.388982,13.454446
ENSG00000062650.20,32.773731,36.280757,37.439659,21.637104,28.616014,25.007929,19.819457,18.067901,17.796403
ENSG00000062716.13,151.456934,170.962959,164.278489,234.712003,224.471669,195.655013,68.89181,67.872694,66.668702
ENSG00000062725.10,13.347838,11.807658,8.793402,3.933979,6.472568,6.783746,6.964651,8.599526,7.758786
ENSG00000062822.16,5.017924,3.504966,5.489835,22.32251,22.624761,19.260349,21.377515,23.075418,23.202716
ENSG00000063015.21,0.097821,0,0,0.370149,0,0.112318,0.118635,0.316028,0.235078
ENSG00000063046.18,171.98524,182.562947,176.080963,133.872975,186.728327,179.248341,329.666492,364.288882,340.832141
ENSG00000063127.16,0.060948,0.119255,0.102074,0,0,0.333519,0.277665,0,1.12056
ENSG00000063169.12,1.58064,1.251559,1.293241,1.662243,1.939441,1.610729,4.678425,4.569963,4.608977
ENSG00000063176.16,6.170924,5.764573,5.339276,5.948778,9.393095,6.38743,16.508422,16.071304,14.394435
ENSG00000063177.13,1281.092295,1217.307427,1308.880609,1499.696569,1319.87684,1424.927802,1416.55665,1352.659853,1344.491233
ENSG00000063180.9,0.22133,0.366273,1.027455,2.336834,2.176863,2.575701,5.356453,5.156647,3.751175
ENSG00000063241.8,25.009476,18.008297,21.506666,25.484923,26.728796,25.865172,40.877345,36.617174,35.689064
ENSG00000063244.14,73.834135,66.15066,73.869837,90.294691,103.527476,102.690677,142.357756,137.127794,141.654296
ENSG00000063245.15,65.471448,58.747312,68.228065,41.613514,54.291308,47.909047,78.777202,68.346509,60.221503
ENSG00000063322.15,23.198378,22.87376,22.418875,20.052317,23.782187,22.876281,17.275696,18.077892,18.6211
ENSG00000063438.20,0,0,0.026389,0.273941,0.650035,0.314097,5.525543,4.320471,3.754654
ENSG00000063515.3,0,0,0,0,0,0,0,0.051355,0.024758
ENSG00000063587.15,3.22764,3.328764,2.842802,4.859281,5.68072,4.687299,7.230032,7.712157,8.150624
ENSG00000063601.17,14.14803,15.432536,14.425929,14.635667,18.524092,16.218153,19.261873,24.615923,20.263712
ENSG00000063660.9,18.774261,17.331197,18.801603,24.742054,33.76659,30.429502,57.046379,51.518118,54.991167
ENSG00000063761.16,2.532666,1.406012,1.705846,1.656551,0.912726,1.352649,9.832613,7.03422,8.35201
ENSG00000063854.13,59.283668,52.540271,54.833355,15.028226,13.293935,12.520228,38.650177,31.791511,30.021212
ENSG00000063978.17,26.266232,27.113183,24.722079,42.28186,52.750768,47.509394,40.560981,41.554644,35.928869
ENSG00000064012.24,22.198989,27.562547,24.886282,69.107776,72.362187,66.940862,18.174536,20.526538,23.532455
ENSG00000064042.18,2.252449,1.830021,2.206805,0.316658,1.237825,0.940484,3.36855,5.324366,3.179344
ENSG00000064102.15,33.526945,39.351612,31.520343,103.6128,86.073737,94.35513,32.768115,28.476851,27.157563
ENSG00000064115.11,193.647558,193.297784,187.328425,20.179633,39.826885,32.246681,234.471089,224.37895,223.865041
ENSG00000064195.7,0.022933,0,0,0.456055,0.43483,0.745167,0.025684,0,0
ENSG00000064199.7,2.052051,1.79669,3.901445,1.899726,5.110645,2.517683,1.311747,1.896488,1.208279
ENSG00000064201.16,0.017528,0,0,0.016608,0,0.040179,0.019609,0.543041,0.038175
ENSG00000064205.11,0,0,0,0.198706,0.352153,0.239173,0,0,0.157706
ENSG00000064218.5,0,0,0,0.045546,0,0,0.026943,0,0
ENSG00000064225.13,10.50532,9.718609,8.926692,0.30196,1.082158,0.730947,0.982685,0.878163,0.240621
ENSG00000064270.13,0.196847,0.034001,0,2.913442,5.827751,5.894205,5.438939,8.369997,6.202291
ENSG00000064300.9,0,0,0,3.541418,3.648787,3.950866,0.019091,0.019261,0
ENSG00000064309.16,0.32989,0.526877,0.856075,0.683019,1.190492,0.545603,4.010165,3.385756,3.150622
ENSG00000064313.13,13.131779,13.571672,11.09833,10.551166,13.795249,12.449481,20.745456,21.619218,23.345865
ENSG00000064393.16,4.369761,4.142407,3.847482,1.483579,2.543567,1.867678,9.759607,11.287729,11.101839
ENSG00000064419.14,15.881812,15.335048,15.337259,29.278311,36.575375,34.822038,28.673288,30.213066,28.822583
ENSG00000064489.23,1.555702,0.641734,1.016011,0,1.213747,1.567331,1.885491,2.208384,2.296862
