,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000166762.19,42,37.005,35.796,16.348,22,13.04,294.984,281.681,358.033
ENSG00000166763.9,0,0,0,0,0,0,0,0,1.081
ENSG00000166770.12,181.966,189.217,179.076,7,3.992,2.827,21.032,3.059,17.378
ENSG00000166780.11,200.999,153.999,185.598,42.999,48,32,9,10,10.096
ENSG00000166783.22,779,745.999,697.999,903,1050.966,972.001,1371,1426,1465.902
ENSG00000166787.4,0,0,0,0,0,0,0,0,0
ENSG00000166788.10,311,338,321.002,707,701,753,416.999,410,408
ENSG00000166793.13,14,6,10,17,11,21,0,1,3
ENSG00000166794.6,5249.351,5297.231,5317.756,5871.14,4916.591,5590.147,5170.075,4809.2,4975.492
ENSG00000166796.12,7,12,6,0,0,0,0,0,0
ENSG00000166797.11,1390,1508,1312,1393.001,1159,1340,976.999,1017.999,993.001
ENSG00000166800.11,1,0,1,0,0,0,1,5,5
ENSG00000166801.17,667,782.998,590,1881.001,1905,1783.001,1043.001,1062.003,1139.999
ENSG00000166803.14,27.941,29.032,21.357,1692.803,1423.955,1575.995,1176.771,1107.897,1111.151
ENSG00000166813.17,14,10,18,396.673,347,344.625,471.272,415,485.284
ENSG00000166816.15,372.999,319.001,359.001,9,8,11,33,37,24
ENSG00000166819.12,16,15,8,7,2,4,10,13,7
ENSG00000166821.9,286.039,266,302,109,111,138.001,110,112,104
ENSG00000166822.13,493.961,631.089,507.981,470.921,507.393,489.9,731.135,739.055,693.808
ENSG00000166823.6,44,66,60,49,45,45,21,15,13
ENSG00000166825.15,2125.001,2057.254,1997.564,46,47,62,3,3,2
ENSG00000166828.3,0,0,0,7,5,3,0,0,0
ENSG00000166831.9,126,127,152,0,0,0,0,0,0
ENSG00000166833.23,1459.9,1364.899,1366.985,92.09,116,107,72,78,45.799
ENSG00000166839.18,9,15,9,48.087,46.703,36.047,46.091,52.087,69.44
ENSG00000166840.14,229.001,230.999,226.998,7,6,10,1,0,0
ENSG00000166845.15,5,13,17,71,57,49.999,1,1,0
ENSG00000166847.10,1309.967,1273.734,1333.991,1179.022,1445.009,1528.003,2292.698,2374.03,2380.858
ENSG00000166848.7,2021,2359.326,2011.044,966,920.02,1065,1466,1476.108,1528
ENSG00000166851.15,26,15,25,1402,1759,1962.99,813.008,845.343,774.386
ENSG00000166855.9,2521.192,2853.2,2668.14,1253.037,1337.913,1508.081,1770.857,1901.061,1707.756
ENSG00000166856.3,1,2,0,0,0,0,6,4,7
ENSG00000166860.3,187,208,209,285,365,363,448,558,529.001
ENSG00000166862.7,0,0,0,0,0,0,0,0,0
ENSG00000166863.13,0,1,0,3,6,1,19,9,15.001
ENSG00000166866.13,7,8,2,220,261,282,28,31,34.001
ENSG00000166869.3,1.511,3,2.919,9.937,4,2,1.072,6.306,13.876
ENSG00000166881.10,500,493,447,1635.001,1960.001,1805.761,850.077,911.094,981.001
ENSG00000166884.3,0,0,0,0,0,0,0,2,0
ENSG00000166886.13,112,109,112.999,981.042,944,1068,657.001,668,626
ENSG00000166887.16,842,808.999,809.001,669,808.81,778.209,1660.001,1675.076,1784.999
ENSG00000166888.12,2317.064,2365.37,2132.709,2169.999,2418.018,2272.102,912.001,956.102,1082.517
ENSG00000166889.14,1189.884,1139,1016.882,1922.964,2066.961,2137.991,1455.928,1732,1671
ENSG00000166896.9,94,112,103.001,168,135,138.01,148.539,135.994,163
ENSG00000166897.16,2,1,4,560,683.999,700,17,6,8
ENSG00000166900.17,1174.012,1298.006,1196,1786.999,2089.021,2231.965,1059.005,930,1017.015
ENSG00000166902.5,974.215,964,996,1227.997,1041.041,1041.899,972.014,842.002,902
ENSG00000166908.18,863,921,855,1502.999,1911.294,1976,1497.999,1649.117,1699.858
ENSG00000166912.17,562.19,628.031,617.247,253.429,253.185,291.915,345.538,408.499,445.784
ENSG00000166913.13,5921.02,6467.973,5727,11023.009,12256,12134.594,4464.999,4535.655,4653.756
ENSG00000166917.11,0,0,0,0,0,0,0,0,0
ENSG00000166920.13,257.643,277.006,283,158,124,157.001,27,18,35
ENSG00000166922.9,51.502,37.821,26.651,7.293,6.571,1,1,0,1
ENSG00000166923.12,2,7.833,5,71.837,98.997,77,1,3,1
ENSG00000166924.9,3,1,3,15,14,17,143,131,147
ENSG00000166925.9,540.001,520,589.36,974.251,1026.517,1076.275,1263.646,1259.26,1266.556
ENSG00000166926.9,0,0,0,0,0,0,0,0,0
ENSG00000166927.13,1,0,0,2,1,0,2,2.009,3.006
ENSG00000166928.11,0,0,0,0,0,0,0,2,0
ENSG00000166930.7,0,0,0,0,0,0,0,0,0
ENSG00000166938.13,543.001,547.032,481.999,401.221,486,467,821.582,836.293,899
ENSG00000166946.14,1396.109,1444.15,1418.858,281.668,298.343,309.334,519.878,508.333,502.968
ENSG00000166947.15,1,0,0,0,0,0,0,0,0
ENSG00000166948.10,0,0,0,0,0,0,0,0,0
ENSG00000166949.17,1320.001,1213.001,1259.379,1159,1164.999,1222.999,2701.999,2827.999,2939.999
ENSG00000166959.8,0,0,0,1,0,1,0,0,0
ENSG00000166960.17,7,7,4,0,0,0,0,0,0
ENSG00000166961.15,0,0,0,0,0,0,0,0,0
ENSG00000166963.13,6,3,3,17,26,20,293,347,384
ENSG00000166965.13,134.001,186,183.001,505,473,543.001,633,676.999,680.001
ENSG00000166971.17,827.239,882.634,757.394,196.773,249.562,237.035,435.29,515.475,468.092
ENSG00000166974.13,841.999,991,867,174,225,239,667,651,681
ENSG00000166979.13,3,8,9,269.001,312.001,235.001,674.001,597.001,605.002
ENSG00000166984.14,0,0,0,0,0,0,0,0,0
ENSG00000166986.15,2553.002,2433.513,2460.613,3281.428,3670.741,3687.671,2923.893,2826.154,2963.877
ENSG00000166987.15,407.918,398.767,416.502,621.121,695.517,632.518,1646.079,1448.434,1759.447
ENSG00000166997.8,112.008,130.003,107.013,130.076,82.092,111.498,115.286,101.876,124.053
ENSG00000167004.14,5719.331,6158.869,5677.098,10622.334,10106.786,10323.352,10353.23,10228.589,9968.587
ENSG00000167005.14,1428,1474.973,1295.682,2686.012,2740.742,2765.291,1936.028,1981,1908.012
ENSG00000167011.9,0,1,0,0,2,2,0,1,2
ENSG00000167014.11,0,0,0,0,0,0,1,0,0
